dish_name,category,price,description,ingredients,tags
JBB-Classic,Main,11.65,"A savory Irish beef patty rests on a soft, buttery bun, complemented by fresh greens and a vibrant slice of raw onion. It's finished with a blend of rich, creamy sauces—one with a distinct garlic bite and another, perhaps, a zesty dill flavor—creating a deeply satisfying and complex meal.","Irish beef, lettuce, brioche, garlic sauce, dolly dip & red onions","contains_gluten, contains_eggs, contains_dairy, contains_sesame,beefy, brioche, dolly_dip_&_red_onions, garlic_sauce, garlicky, irish_beef, lettuce, main, main_dish, not_halal, oniony, rich, savory, sweet"
JBB-Cheese,Main,12.85,"A tender, richly flavored Certified Irish Angus beef patty, celebrated for its natural marbling and succulence, is nestled within a buttery brioche bun, providing a slightly sweet, soft contrast. This savory creation is enhanced by a sharp cheese, crisp lettuce, and sweet red onions, all brought together with a vibrant, garlicky dressing and a creamy ""dolly dip"" for a decadent and savory experience.","Irish beef, lettuce, brioche, garlic sauce, dolly dip, red onions & cheese","contains_gluten, contains_eggs, contains_dairy, contains_sesame,savory, meaty, sweet_bread, tender_beef, juicy_beef, contains_beef,brioche, cheesy, creamy_sauce, dolly_dip, fresh_vegetables, garlic_sauce, garlicky, irish_beef, juicy_beef, lettuce, main, main_course, main_dish, meaty, not_halal, red_onions_&_cheese, savory, sweet_bread, tender_beef"
JBB Chilli Cheese,Main,12.95,"A juicy Irish beef patty topped with savory cheese and a kick of jalapeno, nestled in a soft brioche bun with crisp lettuce and red onions, all finished with a creamy garlic sauce and a special 'dolly dip.'","Irish beef, lettuce, brioche, garlic sauce, dolly dip, red onions, cheese & jalapenos","contains_gluten, contains_eggs, contains_dairy, contains_sesame,Savory, bold, spicy, cheesy, creamy, rich, meaty, contains_beef, high_protein, high_fat,bold, brioche, cheese_&_jalapenos, cheesy, creamy, dolly_dip, garlic_sauce, high_fat, high_protein, irish_beef, lettuce, main, main_dish, meaty, not_halal, red_onions, rich, savory, spicy"
JBB Drunken Bull,Main,13.95,"A mouth-watering Irish beef patty served on a soft brioche bun, complemented by melted cheese and crispy bacon, all drizzled with a rich homemade whiskey barbecue sauce and a hint of whiskey infusion.","Irish beef, Salat, brioche bun, whiskey infusion, homemade whiskey barbecue sauce, cheese and bacon","contains_gluten, contains_eggs, contains_dairy, contains_sesame,beef, brioche_bun, burger, buttery, cheese_and_bacon, cheesy, homemade_whiskey_barbecue_sauce, irish_beef, main, main_course, main_dish, not_halal, rich, salat, savory, smoky, tangy, whiskey, whiskey_infusion"
JBB Farmer Jack,Main,14.45,"A succulent Irish beef creation, layered with smoky bacon and sharp cheddar, enhanced by a tangy tomato BBQ sauce and a zesty mustard kick, topped with a crispy onion ring and fresh salad.","Irish beef, in Bonesucking Mustard, tomato BBQ-Sauce, Onion-Ring, Bacon, Cheddar, Salat","contains_gluten, contains_eggs, contains_dairy, contains_sesame,bacon, bbq-style, bonesucking_mustard, cheddar, contains-dairy, contains-eggs, contains-gluten, contains-sesame, creamy, main, main_dish, onion-ring, pulled-pork-substitute, rustic, salat, savory, seasonal-vegetables, sehr_tomatige_bbq-sauce, served-with-mash, smoky, spicy, sweet."
JBB Bad Ass Devil Ninja,Main,14.45,"A robust Irish-style patty nestled in a soft bun, layered with rich cheese, savory smoked meat, and a fiery combination of spicy peppers and tangy sauce, all complemented by crisp greens and sharp aromatics.","Irish beef, Salat, Brioche, Cheddar, Bacon, Chippotle-BBQ, Chillipopers, Jalapenos & red onions","contains_gluten, contains_eggs, contains_dairy, contains_sesame,bacon, beef, brioche, cheddar, cheesy, chillipopers, chippotle-bbq, dark_flavor, irish_beef, jalapenos_&_red_onions, main, main_dish, not_halal, pungent, salat, savory, smoky, spicy, tangy"
JBV Veggi-Classic,Main,11.65,"A savory plant-based burger, nestled in a soft, lightly sweet roll. It's dressed with a creamy, pungent garlic spread and a unique, tangy dip, then finished with sharp red onion and crisp greens.","Beyond patty, Salat, brioche bun, garlic sauce, Dolly Dip and red onions","beyond_patty, brioche_bun, burger, creamy, dolly_dip_and_red_onions, garlic_sauce, herby, main, main_dish, plant-based, salat, savory, slightly_sweet, umami, vegetarian"
JBV Veggi-Cheese,Main,12.85,"A savory plant-based burger nestled in a soft, rich bread. It’s topped with a crisp, refreshing green, pungent red slices, and creamy, tangy sauces, finished with a layer of melted richness.","Beyond patty, Salat, brioche bun, garlic sauce, Dolly Dip, red onions and cheese","beyond_patty, brioche_bun, burger, cheesy, dolly_dip, fresh, garlic_sauce, main, main_course, main_dish, plant-based_patty, protein-packed, red_onions_and_cheese, salat, savory"
JBV Veggi-Chilli and Cheese,Main,12.95,"This mouthwatering sandwich features a savory, plant-based centerpiece, nestled in a soft, lightly sweet bun. It's layered with crisp greens, sharp red onions, and a rich, creamy blend of two distinct sauces—one featuring a bold garlic kick, and another specialty dip. A blanket of melted cheese, accented by the fiery warmth of jalapeños, finishes this satisfying and flavorful meal.","Beyond patty, Salat, brioche bun, garlic sauce, Dolly Dip, red onions, cheese and jalapenos","beyond_patty, brioche_bun, cheese_and_jalapenos, cheesy, comfort_food, dolly_dip, garlic, garlic_sauce, hearty, jalapeño, main, main_dish, meat_alternative, onion, plant-based_option, red_onions, salat, savory, spicy, vegetarian"
JBV Veggy Bull,Main,13.95,"A savory plant-based creation is nestled in a soft, buttery roll, accented by a deep, smoky barbecue sauce that carries the subtle warmth of aged spirits. Finished with a layer of creamy, melted dairy and fresh greens.","Beyond patty, Salat, brioche bun, whiskey infusion, homemade whiskey barbecue sauce, cheese","contains_gluten, contains_eggs, contains_dairy, contains_sesame,beyond_patty, brioche_bun, burger, cheese, cheesy, hearty, homemade_whiskey_barbecue_sauce, main, main_dish, plant-based, salat, savory, smoky, whiskey-flavored, whiskey_infusion, vegetarian"
